716923,716943
836946,836946
885811,845157
222691,222691
155638,155640
592257,592277
576321,70893
210155,210175
659227,659188
111643,109821
137106,121020
179114,179122
384825,384835
816589,816591
178011,155542
750785,640476
150047,150067
788359,788363
318606,273216
51237,51238
753432,753432
713350,713344
314069,314077
178402,178414
768257,768186
117443,117463
136479,136485
245492,245498
366602,366519
740837,71217
371545,371551
241298,241304
125791,125795
655752,655752
682133,522714
628627,628633
737134,737154
337939,190336
645622,77789
653974,653933
111051,108733
37852,37770
662422,662424
318415,220948
252961,252967
247331,247335
868820,51716
634421,634441
542580,542489
856783,856789
265280,234003
195971,194997
916941,571978
659569,659530
261832,261834
397679,384781
487806,485463
15030,10352
542933,542926
48006,47985
172425,172445
716858,34236
115620,115640
603187,603187
604698,604688
612016,611981
817175,1097
505323,498999
49960,834211
652047,651986
45700,45704
747466,747468
300669,209451
369079,369091
337389,337409
761524,761478
775188,24417
808380,260236
146721,146725
808029,208882
717,694
57127,2731
526286,524690
133119,133125
353994,354014
213763,213767
343547,343547
195383,195389
657043,657043
234119,234119
323472,323474
456644,456664
942615,73522
594898,594739
729316,358888
675661,675681
254352,254354
528850,528870
939335,939206
794207,794179
